1,PIH,"1347 Property Insurance Holdings, Inc.",2014,Finance,Property-Casualty Insurers
2,FLWS,"1-800 FLOWERS.COM, Inc.",1999,Consumer Services,Other Specialty Stores
3,FCCY,1st Constitution Bancorp (NJ),n/a,Finance,Savings Institutions
4,SRCE,1st Source Corporation,n/a,Finance,Major Banks
5,VNET,"21Vianet Group, Inc.",2011,Technology,"Computer Software: Programming, Data Processing"
6,TWOU,"2U, Inc.",2014,Technology,Computer Software: Prepackaged Software
7,JOBS,"51job, Inc.",2004,Technology,Diversified Commercial Services
8,CAFD,8point3 Energy Partners LP,2015,Public Utilities,Electric Utilities: Central
9,EGHT,8x8 Inc,n/a,Public Utilities,Telecommunications Equipment
10,AVHI,"A V Homes, Inc.",n/a,Capital Goods,Homebuilding
11,SHLM,"A. Schulman, Inc.",1972,Basic Industries,Major Chemicals
12,AAON,"AAON, Inc.",n/a,Capital Goods,Industrial Machinery/Components
13,ABAX,"ABAXIS, Inc.",1992,Capital Goods,Industrial Machinery/Components
14,ABEO,Abeona Therapeutics Inc.,n/a,Health Care,Major Pharmaceuticals
15,ABEOW,Abeona Therapeutics Inc.,n/a,Health Care,Major Pharmaceuticals
16,ABIL,Ability Inc.,2014,Finance,Business Services
17,ABMD,"ABIOMED, Inc.",n/a,Health Care,Medical/Dental Instruments
18,AXAS,Abraxas Petroleum Corporation,n/a,Energy,Oil & Gas Production
19,ACIU,AC Immune SA,2016,Health Care,Major Pharmaceuticals
20,ACIA,"Acacia Communications, Inc.",2016,Technology,Semiconductors
21,ACTG,Acacia Research Corporation,n/a,Miscellaneous,Multi-Sector Companies
22,ACHC,"Acadia Healthcare Company, Inc.",n/a,Health Care,Medical Specialities
23,ACAD,ACADIA Pharmaceuticals Inc.,2004,Health Care,Major Pharmaceuticals
24,ACST,"Acasti Pharma, Inc.",n/a,Health Care,Major Pharmaceuticals
25,AXDX,"Accelerate Diagnostics, Inc.",n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments
26,XLRN,Acceleron Pharma Inc.,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
27,ANCX,Access National Corporation,n/a,Finance,Savings Institutions
28,ARAY,Accuray Incorporated,2007,Health Care,Medical/Dental Instruments
29,ACRX,"AcelRx Pharmaceuticals, Inc.",2011,Health Care,Major Pharmaceuticals
30,ACET,Aceto Corporation,n/a,Health Care,Other Pharmaceuticals
31,AKAO,"Achaogen, Inc.",2014,Health Care,Major Pharmaceuticals
32,ACHN,"Achillion Pharmaceuticals, Inc.",2006,Health Care,Major Pharmaceuticals
33,ACIW,"ACI Worldwide, Inc.",n/a,Technology,Computer Software: Prepackaged Software
34,ACRS,"Aclaris Therapeutics, Inc.",2015,Health Care,Major Pharmaceuticals
35,ACNB,ACNB Corporation,n/a,Finance,Major Banks
36,ACOR,"Acorda Therapeutics, Inc.",2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
37,ATVI,"Activision Blizzard, Inc",n/a,Technology,Computer Software: Prepackaged Software
38,ACTA,Actua Corporation,n/a,Technology,EDP Services
39,ACUR,"Acura Pharmaceuticals, Inc.",n/a,Health Care,Major Pharmaceuticals
40,ACXM,Acxiom Corporation,n/a,Technology,EDP Services
41,ADMS,"Adamas Pharmaceuticals, Inc.",2014,Health Care,Major Pharmaceuticals
42,ADMP,Adamis Pharmaceuticals Corporation,n/a,Health Care,Major Pharmaceuticals
43,ADAP,Adaptimmune Therapeutics plc,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
44,ADUS,Addus HomeCare Corporation,2009,Health Care,Medical/Nursing Services
45,AEY,"ADDvantage Technologies Group, Inc.",n/a,Consumer Services,Office Equipment/Supplies/Services
46,IOTS,Adesto Technologies Corporation,2015,Technology,Semiconductors
47,ADMA,ADMA Biologics Inc,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
48,ADBE,Adobe Systems Incorporated,1986,Technology,Computer Software: Prepackaged Software
49,ADTN,"ADTRAN, Inc.",1994,Public Utilities,Telecommunications Equipment
50,ADRO,"Aduro Biotech, Inc.",2015,Health Care,Major Pharmaceuticals
51,AAAP,Advanced Accelerator Applications S.A.,2015,Health Care,Major Pharmaceuticals
52,ADES,"Advanced Emissions Solutions, Inc.",n/a,Basic Industries,Major Chemicals
53,AEIS,"Advanced Energy Industries, Inc.",1995,Capital Goods,Industrial Machinery/Components
54,AMD,"Advanced Micro Devices, Inc.",n/a,Technology,Semiconductors
55,ADXS,"Advaxis, Inc.",n/a,Health Care,Major Pharmaceuticals
56,ADXSW,"Advaxis, Inc.",n/a,Health Care,Major Pharmaceuticals
57,ADVM,"Adverum Biotechnologies, Inc.",2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
58,MAUI,AdvisorShares Market Adaptive Unconstrained Income ETF,n/a,n/a,n/a
59,AEGN,Aegion Corp,n/a,Basic Industries,Water Supply
60,AGLE,"Aeglea BioTherapeutics, Inc.",2016,Health Care,Major Pharmaceuticals
61,AEHR,Aehr Test Systems,1997,Capital Goods,Electrical Products
62,AMTX,"Aemetis, Inc",n/a,Basic Industries,Major Chemicals
63,AERI,"Aerie Pharmaceuticals, Inc.",2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
64,AVAV,"AeroVironment, Inc.",2007,Capital Goods,Aerospace
65,AEZS,AEterna Zentaris Inc.,n/a,Health Care,Major Pharmaceuticals
66,AEMD,"Aethlon Medical, Inc.",n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments
67,GNMX,"Aevi Genomic Medicine, Inc.",n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
68,AFMD,Affimed N.V.,2014,Health Care,Major Pharmaceuticals
69,AGEN,Agenus Inc.,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
70,AGRX,"Agile Therapeutics, Inc.",2014,Health Care,Major Pharmaceuticals
71,AGYS,"Agilysys, Inc.",n/a,Technology,EDP Services
72,AGIO,"Agios Pharmaceuticals, Inc.",2013,Health Care,Major Pharmaceuticals
73,AGNC,AGNC Investment Corp.,2008,Consumer Services,Real Estate Investment Trusts
74,AGNCB,AGNC Investment Corp.,n/a,Consumer Services,Real Estate Investment Trusts
75,AGNCP,AGNC Investment Corp.,n/a,Consumer Services,Real Estate Investment Trusts
76,AGFS,"AgroFresh Solutions, Inc.",2014,Finance,Business Services
77,AGFSW,"AgroFresh Solutions, Inc.",2014,Finance,Business Services
78,AIMT,"Aimmune Therapeutics, Inc.",2015,Health Care,Major Pharmaceuticals
79,AIRM,Air Methods Corporation,n/a,Transportation,Transportation Services
80,AIRT,"Air T, Inc.",n/a,Transportation,Air Freight/Delivery Services
81,ATSG,"Air Transport Services Group, Inc",n/a,Transportation,Air Freight/Delivery Services
82,AIRG,"Airgain, Inc.",2016,Technology,Radio And Television Broadcasting And Communications Equipment
83,AMCN,AirMedia Group Inc,2007,Technology,Advertising
84,AKAM,"Akamai Technologies, Inc.",1999,Miscellaneous,Business Services
85,AKTX,Akari Therapeutics Plc,n/a,Health Care,Major Pharmaceuticals
86,AKBA,"Akebia Therapeutics, Inc.",2014,Health Care,Major Pharmaceuticals
87,AKER,Akers Biosciences Inc,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
88,AKRX,"Akorn, Inc.",n/a,Health Care,Major Pharmaceuticals
89,ALRM,"Alarm.com Holdings, Inc.",2015,Technology,Computer Software: Prepackaged Software
90,ALSK,"Alaska Communications Systems Group, Inc.",1999,Public Utilities,Telecommunications Equipment
91,AMRI,"Albany Molecular Research, Inc.",1999,Health Care,Biotechnology: Commercial Physical & Biological Resarch
92,ALBO,"Albireo Pharma, Inc.",n/a,Health Care,Major Pharmaceuticals
93,ABDC,Alcentra Capital Corp.,n/a,n/a,n/a
94,ADHD,Alcobra Ltd.,2013,Health Care,Major Pharmaceuticals
95,ALDR,"Alder BioPharmaceuticals, Inc.",2014,Health Care,Major Pharmaceuticals
96,ALDX,"Aldeyra Therapeutics, Inc.",2014,Health Care,Major Pharmaceuticals
97,ALXN,"Alexion Pharmaceuticals, Inc.",1996,Health Care,Major Pharmaceuticals
98,ALCO,"Alico, Inc.",n/a,Consumer Non-Durables,Farming/Seeds/Milling
99,ALGN,"Align Technology, Inc.",2001,Health Care,Industrial Specialties
100,ALIM,"Alimera Sciences, Inc.",2010,Health Care,Major Pharmaceuticals
101,ALJJ,"ALJ Regional Holdings, Inc.",n/a,Miscellaneous,Business Services
102,ALKS,Alkermes plc,1991,Health Care,Major Pharmaceuticals
103,ABTX,"Allegiance Bancshares, Inc.",2015,Finance,Major Banks
104,ALGT,Allegiant Travel Company,2006,Transportation,Air Freight/Delivery Services
105,AIQ,"Alliance HealthCare Services, Inc.",2001,Health Care,Medical Specialities
106,AHGP,"Alliance Holdings GP, L.P.",2006,Energy,Coal Mining
107,AMMA,"Alliance MMA, Inc.",2016,Consumer Services,Services-Misc. Amusement & Recreation
108,ARLP,"Alliance Resource Partners, L.P.",1999,Energy,Coal Mining
109,AHPI,"Allied Healthcare Products, Inc.",1992,Health Care,Industrial Specialties
110,AMOT,"Allied Motion Technologies, Inc.",n/a,Capital Goods,Electrical Products
111,ALQA,"Alliqua BioMedical, Inc.",n/a,Health Care,Medical/Dental Instruments
112,ALLT,Allot Communications Ltd.,2006,Technology,Computer Communications Equipment
113,MDRX,"Allscripts Healthcare Solutions, Inc.",n/a,Technology,EDP Services
114,AFAM,Almost Family Inc,n/a,Health Care,Medical/Nursing Services
115,ALNY,"Alnylam Pharmaceuticals, Inc.",2004,Health Care,Major Pharmaceuticals
116,AOSL,Alpha and Omega Semiconductor Limited,2010,Technology,Semiconductors
117,GOOG,Alphabet Inc.,2004,Technology,"Computer Software: Programming, Data Processing"
118,GOOGL,Alphabet Inc.,n/a,Technology,"Computer Software: Programming, Data Processing"
119,SMCP,AlphaMark Actively Managed Small Cap ETF,n/a,n/a,n/a
120,ATEC,"Alphatec Holdings, Inc.",2006,Health Care,Medical/Dental Instruments
121,SWIN,ALPS/Dorsey Wright Sector Momentum ETF,n/a,n/a,n/a
122,ASPS,Altisource Portfolio Solutions S.A.,n/a,Consumer Services,Other Consumer Services
123,AIMC,Altra Industrial Motion Corp.,2006,Capital Goods,Industrial Machinery/Components
124,AMAG,"AMAG Pharmaceuticals, Inc.",n/a,Health Care,Major Pharmaceuticals
125,AMRN,Amarin Corporation plc,n/a,Health Care,Major Pharmaceuticals
126,AMRK,"A-Mark Precious Metals, Inc.",n/a,Basic Industries,Other Specialty Stores
127,AYA,Amaya Inc.,n/a,Technology,"Computer Software: Programming, Data Processing"
128,AMZN,"Amazon.com, Inc.",1997,Consumer Services,Catalog/Specialty Distribution
129,AMBC,"Ambac Financial Group, Inc.",n/a,Finance,Property-Casualty Insurers
130,AMBCW,"Ambac Financial Group, Inc.",n/a,Finance,Property-Casualty Insurers
131,AMBA,"Ambarella, Inc.",2012,Technology,Semiconductors
132,AMCX,AMC Networks Inc.,n/a,Consumer Services,Television Services
133,DOX,Amdocs Limited,n/a,Technology,EDP Services
134,AMDA,Amedica Corporation,2014,Health Care,Medical/Dental Instruments
135,AMED,Amedisys Inc,n/a,Health Care,Medical/Nursing Services
136,UHAL,Amerco,n/a,Consumer Services,Rental/Leasing Companies
137,ATAX,"America First Multifamily Investors, L.P.",n/a,Finance,Finance: Consumer Services
