\N,,,,,
\N,PIH,"1347 Property Insurance Holdings, Inc.",2014,Finance,Property-Casualty Insurers
\N,FLWS,"1-800 FLOWERS.COM, Inc.",1999,Consumer Services,Other Specialty Stores
\N,FCCY,1st Constitution Bancorp (NJ),n/a,Finance,Savings Institutions
\N,SRCE,1st Source Corporation,n/a,Finance,Major Banks
\N,VNET,"21Vianet Group, Inc.",2011,Technology,"Computer Software: Programming, Data Processing"
\N,TWOU,"2U, Inc.",2014,Technology,Computer Software: Prepackaged Software
\N,JOBS,"51job, Inc.",2004,Technology,Diversified Commercial Services
\N,CAFD,8point3 Energy Partners LP,2015,Public Utilities,Electric Utilities: Central
\N,EGHT,8x8 Inc,n/a,Public Utilities,Telecommunications Equipment
\N,AVHI,"A V Homes, Inc.",n/a,Capital Goods,Homebuilding
\N,SHLM,"A. Schulman, Inc.",1972,Basic Industries,Major Chemicals
\N,AAON,"AAON, Inc.",n/a,Capital Goods,Industrial Machinery/Components
\N,ABAX,"ABAXIS, Inc.",1992,Capital Goods,Industrial Machinery/Components
\N,ABEO,Abeona Therapeutics Inc.,n/a,Health Care,Major Pharmaceuticals
\N,ABEOW,Abeona Therapeutics Inc.,n/a,Health Care,Major Pharmaceuticals
\N,ABIL,Ability Inc.,2014,Finance,Business Services
\N,ABMD,"ABIOMED, Inc.",n/a,Health Care,Medical/Dental Instruments
\N,AXAS,Abraxas Petroleum Corporation,n/a,Energy,Oil & Gas Production
\N,ACIU,AC Immune SA,2016,Health Care,Major Pharmaceuticals
\N,ACIA,"Acacia Communications, Inc.",2016,Technology,Semiconductors
\N,ACTG,Acacia Research Corporation,n/a,Miscellaneous,Multi-Sector Companies
\N,ACHC,"Acadia Healthcare Company, Inc.",n/a,Health Care,Medical Specialities
\N,ACAD,ACADIA Pharmaceuticals Inc.,2004,Health Care,Major Pharmaceuticals
\N,ACST,"Acasti Pharma, Inc.",n/a,Health Care,Major Pharmaceuticals
\N,AXDX,"Accelerate Diagnostics, Inc.",n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments
\N,XLRN,Acceleron Pharma Inc.,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
\N,ANCX,Access National Corporation,n/a,Finance,Savings Institutions
\N,ARAY,Accuray Incorporated,2007,Health Care,Medical/Dental Instruments
\N,ACRX,"AcelRx Pharmaceuticals, Inc.",2011,Health Care,Major Pharmaceuticals
\N,ACET,Aceto Corporation,n/a,Health Care,Other Pharmaceuticals
\N,AKAO,"Achaogen, Inc.",2014,Health Care,Major Pharmaceuticals
\N,ACHN,"Achillion Pharmaceuticals, Inc.",2006,Health Care,Major Pharmaceuticals
\N,ACIW,"ACI Worldwide, Inc.",n/a,Technology,Computer Software: Prepackaged Software
\N,ACRS,"Aclaris Therapeutics, Inc.",2015,Health Care,Major Pharmaceuticals
\N,ACNB,ACNB Corporation,n/a,Finance,Major Banks
\N,ACOR,"Acorda Therapeutics, Inc.",2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
\N,ATVI,"Activision Blizzard, Inc",n/a,Technology,Computer Software: Prepackaged Software
\N,ACTA,Actua Corporation,n/a,Technology,EDP Services
\N,ACUR,"Acura Pharmaceuticals, Inc.",n/a,Health Care,Major Pharmaceuticals
\N,ACXM,Acxiom Corporation,n/a,Technology,EDP Services
\N,ADMS,"Adamas Pharmaceuticals, Inc.",2014,Health Care,Major Pharmaceuticals
\N,ADMP,Adamis Pharmaceuticals Corporation,n/a,Health Care,Major Pharmaceuticals
\N,ADAP,Adaptimmune Therapeutics plc,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
\N,ADUS,Addus HomeCare Corporation,2009,Health Care,Medical/Nursing Services
\N,AEY,"ADDvantage Technologies Group, Inc.",n/a,Consumer Services,Office Equipment/Supplies/Services
\N,IOTS,Adesto Technologies Corporation,2015,Technology,Semiconductors
\N,ADMA,ADMA Biologics Inc,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
\N,ADBE,Adobe Systems Incorporated,1986,Technology,Computer Software: Prepackaged Software
\N,ADTN,"ADTRAN, Inc.",1994,Public Utilities,Telecommunications Equipment
\N,ADRO,"Aduro Biotech, Inc.",2015,Health Care,Major Pharmaceuticals
\N,AAAP,Advanced Accelerator Applications S.A.,2015,Health Care,Major Pharmaceuticals
\N,ADES,"Advanced Emissions Solutions, Inc.",n/a,Basic Industries,Major Chemicals
\N,AEIS,"Advanced Energy Industries, Inc.",1995,Capital Goods,Industrial Machinery/Components
\N,AMD,"Advanced Micro Devices, Inc.",n/a,Technology,Semiconductors
\N,ADXS,"Advaxis, Inc.",n/a,Health Care,Major Pharmaceuticals
\N,ADXSW,"Advaxis, Inc.",n/a,Health Care,Major Pharmaceuticals
\N,ADVM,"Adverum Biotechnologies, Inc.",2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
\N,MAUI,AdvisorShares Market Adaptive Unconstrained Income ETF,n/a,n/a,n/a
\N,AEGN,Aegion Corp,n/a,Basic Industries,Water Supply
\N,AGLE,"Aeglea BioTherapeutics, Inc.",2016,Health Care,Major Pharmaceuticals
\N,AEHR,Aehr Test Systems,1997,Capital Goods,Electrical Products
\N,AMTX,"Aemetis, Inc",n/a,Basic Industries,Major Chemicals
\N,AERI,"Aerie Pharmaceuticals, Inc.",2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
\N,AVAV,"AeroVironment, Inc.",2007,Capital Goods,Aerospace
\N,AEZS,AEterna Zentaris Inc.,n/a,Health Care,Major Pharmaceuticals
\N,AEMD,"Aethlon Medical, Inc.",n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments
\N,GNMX,"Aevi Genomic Medicine, Inc.",n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
\N,AFMD,Affimed N.V.,2014,Health Care,Major Pharmaceuticals
\N,AGEN,Agenus Inc.,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
\N,AGRX,"Agile Therapeutics, Inc.",2014,Health Care,Major Pharmaceuticals
\N,AGYS,"Agilysys, Inc.",n/a,Technology,EDP Services
\N,AGIO,"Agios Pharmaceuticals, Inc.",2013,Health Care,Major Pharmaceuticals
\N,AGNC,AGNC Investment Corp.,2008,Consumer Services,Real Estate Investment Trusts
\N,AGNCB,AGNC Investment Corp.,n/a,Consumer Services,Real Estate Investment Trusts
\N,AGNCP,AGNC Investment Corp.,n/a,Consumer Services,Real Estate Investment Trusts
\N,AGFS,"AgroFresh Solutions, Inc.",2014,Finance,Business Services
\N,AGFSW,"AgroFresh Solutions, Inc.",2014,Finance,Business Services
\N,AIMT,"Aimmune Therapeutics, Inc.",2015,Health Care,Major Pharmaceuticals
\N,AIRM,Air Methods Corporation,n/a,Transportation,Transportation Services
\N,AIRT,"Air T, Inc.",n/a,Transportation,Air Freight/Delivery Services
\N,ATSG,"Air Transport Services Group, Inc",n/a,Transportation,Air Freight/Delivery Services
\N,AIRG,"Airgain, Inc.",2016,Technology,Radio And Television Broadcasting And Communications Equipment
\N,AMCN,AirMedia Group Inc,2007,Technology,Advertising
\N,AKAM,"Akamai Technologies, Inc.",1999,Miscellaneous,Business Services
